gorhill/uBlock | https://github.com/gorhill/uBlock | 0 agent PRs | first agent PR: N/A | repo creation: 2015-04-01 | before_commits >= 50 | after_commits >= 25
tldr-pages/tldr | https://github.com/tldr-pages/tldr | 0 agent PRs | first agent PR: N/A | repo creation: 2013-12-08 | before_commits >= 50 | after_commits >= 25
reduxjs/redux | https://github.com/reduxjs/redux | 0 agent PRs | first agent PR: N/A | repo creation: 2015-05-29 | before_commits >= 50 | after_commits >= 25
youngyangyang04/leetcode-master | https://github.com/youngyangyang04/leetcode-master | 0 agent PRs | first agent PR: N/A | repo creation: 2019-12-14 | before_commits >= 50 | after_commits >= 25
minio/minio | https://github.com/minio/minio | 0 agent PRs | first agent PR: N/A | repo creation: 2015-01-14 | before_commits >= 50 | after_commits >= 25
BurntSushi/ripgrep | https://github.com/BurntSushi/ripgrep | 0 agent PRs | first agent PR: N/A | repo creation: 2016-03-11 | before_commits >= 50 | after_commits >= 25
scrapy/scrapy | https://github.com/scrapy/scrapy | 0 agent PRs | first agent PR: N/A | repo creation: 2010-02-22 | before_commits >= 50 | after_commits >= 25
jquery/jquery | https://github.com/jquery/jquery | 0 agent PRs | first agent PR: N/A | repo creation: 2009-04-03 | before_commits >= 50 | after_commits >= 25
spring-projects/spring-framework | https://github.com/spring-projects/spring-framework | 0 agent PRs | first agent PR: N/A | repo creation: 2010-12-08 | before_commits >= 50 | after_commits >= 25
pathwaycom/pathway | https://github.com/pathwaycom/pathway | 0 agent PRs | first agent PR: N/A | repo creation: 2022-11-27 | before_commits >= 50 | after_commits >= 25
jgraph/drawio-desktop | https://github.com/jgraph/drawio-desktop | 0 agent PRs | first agent PR: N/A | repo creation: 2017-05-25 | before_commits >= 50 | after_commits >= 25
git/git | https://github.com/git/git | 0 agent PRs | first agent PR: N/A | repo creation: 2008-07-23 | before_commits >= 50 | after_commits >= 25
rails/rails | https://github.com/rails/rails | 0 agent PRs | first agent PR: N/A | repo creation: 2008-04-11 | before_commits >= 50 | after_commits >= 25
FFmpeg/FFmpeg | https://github.com/FFmpeg/FFmpeg | 0 agent PRs | first agent PR: N/A | repo creation: 2011-04-14 | before_commits >= 50 | after_commits >= 25
sharkdp/bat | https://github.com/sharkdp/bat | 0 agent PRs | first agent PR: N/A | repo creation: 2018-04-21 | before_commits >= 50 | after_commits >= 25
FuelLabs/fuel-core | https://github.com/FuelLabs/fuel-core | 0 agent PRs | first agent PR: N/A | repo creation: 2020-08-27 | before_commits >= 50 | after_commits >= 25
ultralytics/yolov5 | https://github.com/ultralytics/yolov5 | 0 agent PRs | first agent PR: N/A | repo creation: 2020-05-18 | before_commits >= 50 | after_commits >= 25
pocketbase/pocketbase | https://github.com/pocketbase/pocketbase | 0 agent PRs | first agent PR: N/A | repo creation: 2022-07-05 | before_commits >= 50 | after_commits >= 25
dani-garcia/vaultwarden | https://github.com/dani-garcia/vaultwarden | 0 agent PRs | first agent PR: N/A | repo creation: 2018-02-17 | before_commits >= 50 | after_commits >= 25
pi-hole/pi-hole | https://github.com/pi-hole/pi-hole | 0 agent PRs | first agent PR: N/A | repo creation: 2014-06-08 | before_commits >= 50 | after_commits >= 25
rust-unofficial/awesome-rust | https://github.com/rust-unofficial/awesome-rust | 0 agent PRs | first agent PR: N/A | repo creation: 2014-07-17 | before_commits >= 50 | after_commits >= 25
starship/starship | https://github.com/starship/starship | 0 agent PRs | first agent PR: N/A | repo creation: 2019-04-02 | before_commits >= 50 | after_commits >= 25
psf/requests | https://github.com/psf/requests | 0 agent PRs | first agent PR: N/A | repo creation: 2011-02-13 | before_commits >= 50 | after_commits >= 25
laurent22/joplin | https://github.com/laurent22/joplin | 0 agent PRs | first agent PR: N/A | repo creation: 2017-01-16 | before_commits >= 50 | after_commits >= 25
ngosang/trackerslist | https://github.com/ngosang/trackerslist | 0 agent PRs | first agent PR: N/A | repo creation: 2016-04-24 | before_commits >= 50 | after_commits >= 25
firstcontributions/first-contributions | https://github.com/firstcontributions/first-contributions | 0 agent PRs | first agent PR: N/A | repo creation: 2016-09-20 | before_commits >= 50 | after_commits >= 25
WerWolv/ImHex | https://github.com/WerWolv/ImHex | 0 agent PRs | first agent PR: N/A | repo creation: 2020-11-10 | before_commits >= 50 | after_commits >= 25
typst/typst | https://github.com/typst/typst | 0 agent PRs | first agent PR: N/A | repo creation: 2019-09-24 | before_commits >= 50 | after_commits >= 25
etcd-io/etcd | https://github.com/etcd-io/etcd | 0 agent PRs | first agent PR: N/A | repo creation: 2013-07-06 | before_commits >= 50 | after_commits >= 25
google/guava | https://github.com/google/guava | 0 agent PRs | first agent PR: N/A | repo creation: 2014-05-29 | before_commits >= 50 | after_commits >= 25
2dust/v2rayNG | https://github.com/2dust/v2rayNG | 0 agent PRs | first agent PR: N/A | repo creation: 2019-05-15 | before_commits >= 50 | after_commits >= 25
charlax/professional-programming | https://github.com/charlax/professional-programming | 0 agent PRs | first agent PR: N/A | repo creation: 2015-11-07 | before_commits >= 50 | after_commits >= 25
mastodon/mastodon | https://github.com/mastodon/mastodon | 0 agent PRs | first agent PR: N/A | repo creation: 2016-02-22 | before_commits >= 50 | after_commits >= 25
AlistGo/alist | https://github.com/AlistGo/alist | 0 agent PRs | first agent PR: N/A | repo creation: 2020-12-23 | before_commits >= 50 | after_commits >= 25
lyswhut/lx-music-desktop | https://github.com/lyswhut/lx-music-desktop | 0 agent PRs | first agent PR: N/A | repo creation: 2019-08-14 | before_commits >= 50 | after_commits >= 25
dkhamsing/open-source-ios-apps | https://github.com/dkhamsing/open-source-ios-apps | 0 agent PRs | first agent PR: N/A | repo creation: 2015-01-26 | before_commits >= 50 | after_commits >= 25
