text_type,doc_id,cluster
commit_messages,676,1
commit_messages,677,0
commit_messages,678,1
commit_messages,679,1
commit_messages,680,3
commit_messages,681,3
commit_messages,682,0
commit_messages,683,3
commit_messages,684,3
commit_messages,685,1
commit_messages,686,1
commit_messages,687,3
commit_messages,688,3
commit_messages,689,0
commit_messages,690,0
commit_messages,691,0
commit_messages,692,0
commit_messages,693,3
commit_messages,694,0
commit_messages,695,1
commit_messages,696,3
commit_messages,697,0
commit_messages,698,3
commit_messages,699,1
commit_messages,700,0
commit_messages,701,3
commit_messages,702,0
commit_messages,703,3
commit_messages,704,1
commit_messages,705,0
commit_messages,706,0
commit_messages,707,0
commit_messages,708,3
commit_messages,709,3
commit_messages,710,3
commit_messages,711,0
commit_messages,712,0
commit_messages,713,3
commit_messages,714,0
commit_messages,715,3
commit_messages,716,3
commit_messages,717,3
commit_messages,718,3
commit_messages,719,3
commit_messages,720,3
commit_messages,721,3
commit_messages,722,1
commit_messages,723,1
commit_messages,724,3
commit_messages,725,0
commit_messages,726,1
commit_messages,727,0
commit_messages,728,3
commit_messages,729,0
commit_messages,730,3
commit_messages,731,2
commit_messages,732,3
commit_messages,733,1
commit_messages,734,0
commit_messages,735,0
commit_messages,736,0
commit_messages,737,1
commit_messages,738,3
commit_messages,739,1
commit_messages,740,1
commit_messages,741,1
commit_messages,742,3
commit_messages,743,3
commit_messages,744,1
commit_messages,745,0
commit_messages,746,2
commit_messages,747,2
commit_messages,748,2
commit_messages,749,1
commit_messages,750,3
commit_messages,751,3
commit_messages,752,0
commit_messages,753,1
commit_messages,754,2
commit_messages,755,1
commit_messages,756,1
commit_messages,757,3
commit_messages,758,1
commit_messages,759,3
commit_messages,760,3
commit_messages,761,0
commit_messages,762,1
commit_messages,763,3
commit_messages,764,3
commit_messages,765,3
commit_messages,766,0
commit_messages,767,1
commit_messages,768,3
commit_messages,769,3
commit_messages,770,0
commit_messages,771,0
commit_messages,772,3
commit_messages,773,0
commit_messages,774,1
commit_messages,775,3
commit_messages,776,0
commit_messages,777,1
commit_messages,778,3
commit_messages,779,3
commit_messages,780,0
commit_messages,781,3
commit_messages,782,0
commit_messages,783,3
commit_messages,784,3
commit_messages,785,0
commit_messages,786,3
commit_messages,787,3
commit_messages,788,0
commit_messages,789,3
commit_messages,790,0
commit_messages,791,3
commit_messages,792,1
commit_messages,793,1
commit_messages,794,1
commit_messages,795,3
commit_messages,796,3
commit_messages,797,3
commit_messages,798,0
commit_messages,799,1
commit_messages,800,3
commit_messages,801,3
commit_messages,802,0
commit_messages,803,3
commit_messages,804,0
commit_messages,805,3
commit_messages,806,0
commit_messages,807,0
commit_messages,808,3
commit_messages,809,3
commit_messages,810,0
commit_messages,811,2
commit_messages,812,2
commit_messages,813,3
commit_messages,814,1
commit_messages,815,3
commit_messages,816,0
commit_messages,817,0
commit_messages,818,1
commit_messages,819,1
commit_messages,820,3
commit_messages,821,1
commit_messages,822,1
commit_messages,823,3
commit_messages,824,2
commit_messages,825,0
commit_messages,826,1
commit_messages,827,1
commit_messages,828,1
commit_messages,829,3
commit_messages,830,0
commit_messages,831,3
commit_messages,832,1
commit_messages,833,3
commit_messages,834,0
commit_messages,835,0
commit_messages,836,1
commit_messages,837,2
commit_messages,838,3
commit_messages,839,0
commit_messages,840,3
commit_messages,841,0
commit_messages,842,0
commit_messages,843,0
commit_messages,844,3
commit_messages,845,3
commit_messages,846,2
commit_messages,847,2
commit_messages,848,3
commit_messages,849,0
commit_messages,850,0
commit_messages,851,2
commit_messages,852,1
commit_messages,853,1
commit_messages,854,3
commit_messages,855,3
commit_messages,856,2
commit_messages,857,3
commit_messages,858,0
commit_messages,859,3
commit_messages,860,0
commit_messages,861,3
commit_messages,862,1
commit_messages,863,1
commit_messages,864,1
commit_messages,865,3
commit_messages,866,0
commit_messages,867,3
commit_messages,868,1
commit_messages,869,2
commit_messages,870,2
commit_messages,871,3
commit_messages,872,0
commit_messages,873,3
commit_messages,874,3
commit_messages,875,3
commit_messages,876,3
commit_messages,877,0
commit_messages,878,3
commit_messages,879,0
commit_messages,880,1
commit_messages,881,2
commit_messages,882,2
commit_messages,883,2
commit_messages,884,2
commit_messages,885,2
commit_messages,886,3
commit_messages,887,2
commit_messages,888,3
commit_messages,889,0
commit_messages,890,3
commit_messages,891,0
commit_messages,892,3
commit_messages,893,0
commit_messages,894,3
commit_messages,895,2
commit_messages,896,0
commit_messages,897,1
commit_messages,898,1
commit_messages,899,3
commit_messages,900,3
commit_messages,901,3
commit_messages,902,0
commit_messages,903,3
commit_messages,904,1
commit_messages,905,1
commit_messages,906,2
commit_messages,907,2
commit_messages,908,3
commit_messages,909,3
commit_messages,910,1
commit_messages,911,1
commit_messages,912,3
commit_messages,913,0
commit_messages,914,1
commit_messages,915,1
commit_messages,916,3
commit_messages,917,3
commit_messages,918,0
commit_messages,919,3
commit_messages,920,1
commit_messages,921,3
commit_messages,922,0
commit_messages,923,1
commit_messages,924,1
commit_messages,925,0
commit_messages,926,1
commit_messages,927,3
commit_messages,928,3
commit_messages,929,3
commit_messages,930,3
commit_messages,931,0
commit_messages,932,3
commit_messages,933,3
commit_messages,934,0
commit_messages,935,2
commit_messages,936,0
commit_messages,937,3
commit_messages,938,0
commit_messages,939,3
commit_messages,940,0
commit_messages,941,3
commit_messages,942,0
commit_messages,943,2
commit_messages,944,0
commit_messages,945,0
commit_messages,946,3
commit_messages,947,1
commit_messages,948,1
commit_messages,949,3
commit_messages,950,0
commit_messages,951,3
commit_messages,952,3
commit_messages,953,1
commit_messages,954,1
commit_messages,955,0
commit_messages,956,0
commit_messages,957,1
commit_messages,958,1
commit_messages,959,1
commit_messages,960,0
commit_messages,961,1
commit_messages,962,1
commit_messages,963,1
commit_messages,964,1
commit_messages,965,3
commit_messages,966,3
commit_messages,967,0
commit_messages,968,1
commit_messages,969,1
commit_messages,970,1
commit_messages,971,0
commit_messages,972,0
commit_messages,973,0
commit_messages,974,0
commit_messages,975,0
commit_messages,976,0
commit_messages,977,1
commit_messages,978,1
commit_messages,979,1
commit_messages,980,3
commit_messages,981,3
commit_messages,982,0
commit_messages,983,3
commit_messages,984,3
commit_messages,985,3
commit_messages,986,1
commit_messages,987,1
commit_messages,988,1
commit_messages,989,1
commit_messages,990,1
commit_messages,991,0
commit_messages,992,3
commit_messages,993,0
commit_messages,994,0
commit_messages,995,3
commit_messages,996,3
commit_messages,997,1
commit_messages,998,3
commit_messages,999,3
commit_messages,1000,3
commit_messages,1001,0
commit_messages,1002,1
commit_messages,1003,0
commit_messages,1004,3
commit_messages,1005,3
commit_messages,1006,0
commit_messages,1007,3
commit_messages,1008,0
commit_messages,1009,0
commit_messages,1010,0
commit_messages,1011,3
commit_messages,1012,3
commit_messages,1013,0
commit_messages,1014,1
commit_messages,1015,0
commit_messages,1016,1
commit_messages,1017,3
commit_messages,1018,3
commit_messages,1019,0
commit_messages,1020,1
commit_messages,1021,0
commit_messages,1022,0
commit_messages,1023,3
commit_messages,1024,0
commit_messages,1025,0
commit_messages,1026,0
commit_messages,1027,0
commit_messages,1028,0
commit_messages,1029,1
commit_messages,1030,1
commit_messages,1031,1
commit_messages,1032,3
commit_messages,1033,2
commit_messages,1034,1
commit_messages,1035,1
commit_messages,1036,3
commit_messages,1037,0
commit_messages,1038,0
commit_messages,1039,1
commit_messages,1040,0
commit_messages,1041,0
commit_messages,1042,3
commit_messages,1043,3
commit_messages,1044,0
commit_messages,1045,0
commit_messages,1046,3
commit_messages,1047,1
commit_messages,1048,0
commit_messages,1049,3
commit_messages,1050,0
commit_messages,1051,3
commit_messages,1052,0
commit_messages,1053,0
commit_messages,1054,3
commit_messages,1055,0
commit_messages,1056,1
commit_messages,1057,0
commit_messages,1058,1
commit_messages,1059,0
commit_messages,1060,3
commit_messages,1061,0
commit_messages,1062,3
commit_messages,1063,0
commit_messages,1064,0
commit_messages,1065,0
commit_messages,1066,0
commit_messages,1067,0
commit_messages,1068,1
commit_messages,1069,3
commit_messages,1070,0
commit_messages,1071,1
commit_messages,1072,3
commit_messages,1073,0
commit_messages,1074,1
commit_messages,1075,0
commit_messages,1076,3
commit_messages,1077,3
commit_messages,1078,1
commit_messages,1079,1
commit_messages,1080,0
commit_messages,1081,2
commit_messages,1082,2
commit_messages,1083,2
commit_messages,1084,0
commit_messages,1085,1
commit_messages,1086,3
commit_messages,1087,0
commit_messages,1088,0
commit_messages,1089,3
commit_messages,1090,0
commit_messages,1091,1
commit_messages,1092,0
commit_messages,1093,1
commit_messages,1094,3
commit_messages,1095,3
commit_messages,1096,3
commit_messages,1097,0
commit_messages,1098,2
commit_messages,1099,0
commit_messages,1100,0
commit_messages,1101,3
commit_messages,1102,0
commit_messages,1103,1
commit_messages,1104,0
commit_messages,1105,3
commit_messages,1106,3
commit_messages,1107,0
commit_messages,1108,1
commit_messages,1109,0
commit_messages,1110,3
commit_messages,1111,3
commit_messages,1112,0
commit_messages,1113,1
commit_messages,1114,1
commit_messages,1115,3
commit_messages,1116,3
commit_messages,1117,0
commit_messages,1118,0
commit_messages,1119,3
commit_messages,1120,0
commit_messages,1121,2
commit_messages,1122,0
commit_messages,1123,0
commit_messages,1124,0
commit_messages,1125,1
commit_messages,1126,0
commit_messages,1127,0
commit_messages,1128,0
commit_messages,1129,3
commit_messages,1130,1
commit_messages,1131,2
commit_messages,1132,3
commit_messages,1133,0
commit_messages,1134,0
commit_messages,1135,1
commit_messages,1136,2
commit_messages,1137,1
commit_messages,1138,0
commit_messages,1139,1
commit_messages,1140,1
commit_messages,1141,1
commit_messages,1142,1
commit_messages,1143,1
commit_messages,1144,0
commit_messages,1145,1
commit_messages,1146,1
commit_messages,1147,1
commit_messages,1148,1
commit_messages,1149,1
commit_messages,1150,1
commit_messages,1151,1
commit_messages,1152,2
commit_messages,1153,2
commit_messages,1154,1
commit_messages,1155,1
commit_messages,1156,2
commit_messages,1157,2
commit_messages,1158,2
commit_messages,1159,2
commit_messages,1160,1
commit_messages,1161,0
commit_messages,1162,0
commit_messages,1163,1
commit_messages,1164,3
commit_messages,1165,0
commit_messages,1166,1
commit_messages,1167,2
commit_messages,1168,1
commit_messages,1169,1
commit_messages,1170,0
commit_messages,1171,3
commit_messages,1172,0
commit_messages,1173,1
commit_messages,1174,3
commit_messages,1175,1
commit_messages,1176,1
commit_messages,1177,3
commit_messages,1178,0
commit_messages,1179,3
commit_messages,1180,1
commit_messages,1181,1
commit_messages,1182,0
