Job submitted at: Thu Feb 12 12:47:13 PST 2026
Job started at: Thu Feb 12 12:47:13 PST 2026
/home/lottenho/660_pro/venv/bin/python
Python 3.11.4
[1/44] Skipping jwiedeman/BlueFrogAnalytics (not cloned)

================================================================================
[2/44] Processing repo: supermarsx/whoisdigger
================================================================================
[hmislk/hmis] 2016-12 done | total_nloc=57 avg_ccn=680.0 files=2920 | cache_hits=0 cache_misses=30
[hmislk/hmis] 2017-01 done | total_nloc=57 avg_ccn=680.0 files=2933 | cache_hits=0 cache_misses=31
[hmislk/hmis] 2017-02 done | total_nloc=57 avg_ccn=680.0 files=2931 | cache_hits=0 cache_misses=32
[hmislk/hmis] 2017-03 done | total_nloc=53 avg_ccn=489.0 files=2939 | cache_hits=0 cache_misses=33
[hmislk/hmis] 2017-04 done | total_nloc=53 avg_ccn=489.0 files=2941 | cache_hits=0 cache_misses=34
[hmislk/hmis] 2017-05 done | total_nloc=53 avg_ccn=489.0 files=2950 | cache_hits=0 cache_misses=35
[hmislk/hmis] 2017-06 done | total_nloc=53 avg_ccn=489.0 files=2951 | cache_hits=0 cache_misses=36
[hmislk/hmis] 2017-07 done | total_nloc=53 avg_ccn=489.0 files=2952 | cache_hits=0 cache_misses=37
[hmislk/hmis] 2017-08 done | total_nloc=53 avg_ccn=489.0 files=2956 | cache_hits=0 cache_misses=38
[hmislk/hmis] 2017-09 done | total_nloc=53 avg_ccn=489.0 files=2974 | cache_hits=0 cache_misses=39
[hmislk/hmis] 2017-10 done | total_nloc=53 avg_ccn=489.0 files=2977 | cache_hits=0 cache_misses=40
[hmislk/hmis] 2017-11 done | total_nloc=53 avg_ccn=489.0 files=2996 | cache_hits=0 cache_misses=41
[hmislk/hmis] 2017-12 done | total_nloc=53 avg_ccn=489.0 files=3001 | cache_hits=0 cache_misses=42
[hmislk/hmis] 2018-01 done | total_nloc=53 avg_ccn=489.0 files=3002 | cache_hits=0 cache_misses=43
[hmislk/hmis] 2018-02 done | total_nloc=53 avg_ccn=489.0 files=3003 | cache_hits=0 cache_misses=44
[hmislk/hmis] 2018-03 done | total_nloc=53 avg_ccn=489.0 files=3008 | cache_hits=0 cache_misses=45
[hmislk/hmis] 2018-04 done | total_nloc=53 avg_ccn=489.0 files=3009 | cache_hits=0 cache_misses=46
[hmislk/hmis] 2018-05 done | total_nloc=53 avg_ccn=489.0 files=3017 | cache_hits=0 cache_misses=47
[hmislk/hmis] 2018-06 done | total_nloc=53 avg_ccn=489.0 files=3018 | cache_hits=0 cache_misses=48
[hmislk/hmis] 2018-07 done | total_nloc=50 avg_ccn=436.0 files=3070 | cache_hits=0 cache_misses=49
[hmislk/hmis] 2018-08 done | total_nloc=49 avg_ccn=413.0 files=3075 | cache_hits=0 cache_misses=50
[hmislk/hmis] 2018-09 done | total_nloc=49 avg_ccn=413.0 files=3075 | cache_hits=0 cache_misses=51
[hmislk/hmis] 2018-10 done | total_nloc=53 avg_ccn=489.0 files=3009 | cache_hits=0 cache_misses=52
[hmislk/hmis] 2018-11 done | total_nloc=53 avg_ccn=489.0 files=3010 | cache_hits=0 cache_misses=53
[hmislk/hmis] 2018-12 done | total_nloc=49 avg_ccn=413.0 files=3076 | cache_hits=0 cache_misses=54
[hmislk/hmis] 2019-01 done | total_nloc=49 avg_ccn=413.0 files=3076 | cache_hits=1 cache_misses=54
[hmislk/hmis] 2019-02 done | total_nloc=49 avg_ccn=413.0 files=3076 | cache_hits=1 cache_misses=55
[hmislk/hmis] 2019-03 done | total_nloc=49 avg_ccn=413.0 files=3078 | cache_hits=1 cache_misses=56
[hmislk/hmis] 2019-04 done | total_nloc=49 avg_ccn=413.0 files=3078 | cache_hits=2 cache_misses=56
[hmislk/hmis] 2019-05 done | total_nloc=49 avg_ccn=413.0 files=3085 | cache_hits=2 cache_misses=57
[hmislk/hmis] 2019-06 done | total_nloc=53 avg_ccn=489.0 files=3010 | cache_hits=2 cache_misses=58
[hmislk/hmis] 2019-07 done | total_nloc=49 avg_ccn=413.0 files=3121 | cache_hits=2 cache_misses=59
[hmislk/hmis] 2019-08 done | total_nloc=49 avg_ccn=413.0 files=3124 | cache_hits=2 cache_misses=60
[hmislk/hmis] 2019-09 done | total_nloc=49 avg_ccn=413.0 files=3126 | cache_hits=2 cache_misses=61
[hmislk/hmis] 2019-10 done | total_nloc=49 avg_ccn=413.0 files=3121 | cache_hits=2 cache_misses=62
[hmislk/hmis] 2019-11 done | total_nloc=49 avg_ccn=413.0 files=3130 | cache_hits=2 cache_misses=63
[hmislk/hmis] 2019-12 done | total_nloc=49 avg_ccn=413.0 files=3134 | cache_hits=2 cache_misses=64
[hmislk/hmis] 2020-01 done | total_nloc=49 avg_ccn=413.0 files=3132 | cache_hits=2 cache_misses=65
[hmislk/hmis] 2020-02 done | total_nloc=49 avg_ccn=413.0 files=3123 | cache_hits=2 cache_misses=66
[hmislk/hmis] 2020-03 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=2 cache_misses=67
[hmislk/hmis] 2020-04 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=2 cache_misses=68
[hmislk/hmis] 2020-05 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=3 cache_misses=68
[hmislk/hmis] 2020-06 done | total_nloc=49 avg_ccn=413.0 files=3133 | cache_hits=3 cache_misses=69
[hmislk/hmis] 2020-07 done | total_nloc=49 avg_ccn=413.0 files=3136 | cache_hits=3 cache_misses=70
[hmislk/hmis] 2020-08 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=3 cache_misses=71
[hmislk/hmis] 2020-09 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=4 cache_misses=71
[hmislk/hmis] 2020-10 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=4 cache_misses=72
[hmislk/hmis] 2020-11 done | total_nloc=49 avg_ccn=413.0 files=3143 | cache_hits=4 cache_misses=73
[hmislk/hmis] 2020-12 done | total_nloc=49 avg_ccn=413.0 files=3144 | cache_hits=4 cache_misses=74
[hmislk/hmis] 2021-01 done | total_nloc=49 avg_ccn=413.0 files=3144 | cache_hits=5 cache_misses=74
[hmislk/hmis] 2021-02 done | total_nloc=49 avg_ccn=413.0 files=3144 | cache_hits=6 cache_misses=74
[hmislk/hmis] 2021-03 done | total_nloc=49 avg_ccn=413.0 files=3144 | cache_hits=7 cache_misses=74
[hmislk/hmis] 2021-04 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=7 cache_misses=75
[hmislk/hmis] 2021-05 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=8 cache_misses=75
[hmislk/hmis] 2021-06 done | total_nloc=49 avg_ccn=413.0 files=3146 | cache_hits=8 cache_misses=76
[hmislk/hmis] 2021-07 done | total_nloc=49 avg_ccn=413.0 files=3146 | cache_hits=8 cache_misses=77
[hmislk/hmis] 2021-08 done | total_nloc=49 avg_ccn=413.0 files=3146 | cache_hits=9 cache_misses=77
[hmislk/hmis] 2021-09 done | total_nloc=49 avg_ccn=413.0 files=3147 | cache_hits=9 cache_misses=78
[hmislk/hmis] 2021-10 done | total_nloc=49 avg_ccn=413.0 files=3150 | cache_hits=9 cache_misses=79
[hmislk/hmis] 2021-11 done | total_nloc=49 avg_ccn=413.0 files=3150 | cache_hits=10 cache_misses=79
[hmislk/hmis] 2021-12 done | total_nloc=49 avg_ccn=413.0 files=3150 | cache_hits=11 cache_misses=79
[hmislk/hmis] 2022-01 done | total_nloc=49 avg_ccn=413.0 files=3150 | cache_hits=12 cache_misses=79
[hmislk/hmis] 2022-02 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=12 cache_misses=80
[hmislk/hmis] 2022-03 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=13 cache_misses=80
[hmislk/hmis] 2022-04 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=14 cache_misses=80
[hmislk/hmis] 2022-05 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=15 cache_misses=80
[hmislk/hmis] 2022-06 done | total_nloc=49 avg_ccn=413.0 files=3140 | cache_hits=15 cache_misses=81
[hmislk/hmis] 2022-07 done | total_nloc=49 avg_ccn=413.0 files=3149 | cache_hits=15 cache_misses=82
[hmislk/hmis] 2022-08 done | total_nloc=49 avg_ccn=413.0 files=3149 | cache_hits=16 cache_misses=82
[hmislk/hmis] 2022-09 done | total_nloc=49 avg_ccn=413.0 files=3159 | cache_hits=16 cache_misses=83
[hmislk/hmis] 2022-10 done | total_nloc=49 avg_ccn=413.0 files=3118 | cache_hits=16 cache_misses=84
[hmislk/hmis] 2022-11 done | total_nloc=49 avg_ccn=413.0 files=3123 | cache_hits=16 cache_misses=85
[hmislk/hmis] 2022-12 done | total_nloc=49 avg_ccn=413.0 files=3143 | cache_hits=16 cache_misses=86
[hmislk/hmis] 2023-01 done | total_nloc=49 avg_ccn=413.0 files=3151 | cache_hits=16 cache_misses=87
[hmislk/hmis] 2023-02 done | total_nloc=49 avg_ccn=413.0 files=3153 | cache_hits=16 cache_misses=88
[hmislk/hmis] 2023-03 done | total_nloc=49 avg_ccn=413.0 files=3161 | cache_hits=16 cache_misses=89
[hmislk/hmis] 2023-04 done | total_nloc=49 avg_ccn=413.0 files=3221 | cache_hits=16 cache_misses=90
[hmislk/hmis] 2023-05 done | total_nloc=49 avg_ccn=413.0 files=3228 | cache_hits=16 cache_misses=91
[hmislk/hmis] 2023-06 done | total_nloc=49 avg_ccn=413.0 files=3241 | cache_hits=16 cache_misses=92
[hmislk/hmis] 2023-07 done | total_nloc=49 avg_ccn=413.0 files=3338 | cache_hits=16 cache_misses=93
[hmislk/hmis] 2023-08 done | total_nloc=49 avg_ccn=413.0 files=3348 | cache_hits=16 cache_misses=94
[hmislk/hmis] 2023-09 done | total_nloc=49 avg_ccn=413.0 files=3357 | cache_hits=16 cache_misses=95
[hmislk/hmis] 2023-10 done | total_nloc=49 avg_ccn=413.0 files=3652 | cache_hits=16 cache_misses=96
[hmislk/hmis] 2023-11 done | total_nloc=49 avg_ccn=413.0 files=3523 | cache_hits=16 cache_misses=97
[hmislk/hmis] 2023-12 done | total_nloc=49 avg_ccn=413.0 files=3569 | cache_hits=16 cache_misses=98
[hmislk/hmis] 2024-01 done | total_nloc=49 avg_ccn=413.0 files=3639 | cache_hits=16 cache_misses=99
[hmislk/hmis] 2024-02 done | total_nloc=56 avg_ccn=669.0 files=3683 | cache_hits=16 cache_misses=100
[hmislk/hmis] 2024-03 done | total_nloc=56 avg_ccn=669.0 files=3774 | cache_hits=16 cache_misses=101
[hmislk/hmis] 2024-04 done | total_nloc=56 avg_ccn=669.0 files=3840 | cache_hits=16 cache_misses=102
[hmislk/hmis] 2024-05 done | total_nloc=56 avg_ccn=669.0 files=3882 | cache_hits=16 cache_misses=103
[hmislk/hmis] 2024-06 done | total_nloc=56 avg_ccn=669.0 files=3929 | cache_hits=16 cache_misses=104
[hmislk/hmis] 2024-07 done | total_nloc=56 avg_ccn=669.0 files=4041 | cache_hits=16 cache_misses=105
[hmislk/hmis] 2024-08 done | total_nloc=56 avg_ccn=669.0 files=4132 | cache_hits=16 cache_misses=106
[hmislk/hmis] 2024-09 done | total_nloc=56 avg_ccn=669.0 files=4382 | cache_hits=16 cache_misses=107
[hmislk/hmis] 2024-10 done | total_nloc=56 avg_ccn=669.0 files=4489 | cache_hits=16 cache_misses=108
[hmislk/hmis] 2024-11 done | total_nloc=56 avg_ccn=669.0 files=4560 | cache_hits=16 cache_misses=109
[hmislk/hmis] 2024-12 done | total_nloc=56 avg_ccn=669.0 files=4680 | cache_hits=16 cache_misses=110
[hmislk/hmis] 2025-01 done | total_nloc=56 avg_ccn=669.0 files=4720 | cache_hits=16 cache_misses=111
[hmislk/hmis] 2025-02 done | total_nloc=56 avg_ccn=669.0 files=4794 | cache_hits=16 cache_misses=112
[hmislk/hmis] 2025-03 done | total_nloc=56 avg_ccn=669.0 files=4850 | cache_hits=16 cache_misses=113
[hmislk/hmis] 2025-04 done | total_nloc=56 avg_ccn=669.0 files=4920 | cache_hits=16 cache_misses=114
[hmislk/hmis] 2025-05 done | total_nloc=56 avg_ccn=669.0 files=4992 | cache_hits=16 cache_misses=115
[hmislk/hmis] 2025-06 done | total_nloc=56 avg_ccn=669.0 files=5081 | cache_hits=16 cache_misses=116
[hmislk/hmis] 2025-07 done | total_nloc=56 avg_ccn=669.0 files=5220 | cache_hits=16 cache_misses=117
[hmislk/hmis] 2025-08 done | ERROR=timeout | cache_hits=16 cache_misses=118
[hmislk/hmis] 2025-09 done | ERROR=timeout | cache_hits=16 cache_misses=119
